title,link,price,booking_date,star,cities,source
【獨家83折】桃園青埔｜草莓學校｜採草莓、草莓盆栽體驗、親子DIY體驗＆尋寶活動,https://www.kkday.com/zh-tw/product/124616,400,20220308,4.26,"[{'id': 'A01-001-00008', 'name': '桃園'}]",KKday
限時9折｜宜蘭蘇澳｜計程車博物館門票｜贈碰碰車體驗,https://www.kkday.com/zh-tw/product/33022,180,20220306,4.62,"[{'id': 'A01-001-00017', 'name': '宜蘭'}]",KKday
快閃優惠51折｜苗栗南庄蘇維拉莊園｜雙人入園門票（加贈桂花烏龍冷泡茶）,https://www.kkday.com/zh-tw/product/101824,400,20220306,4.78,"[{'id': 'A01-001-00010', 'name': '苗栗'}]",KKday
【線上優惠8折】高雄科工館＆熱雪天堂探索樂園特展｜聯合門票優惠,https://www.kkday.com/zh-tw/product/118150,280,20220306,4.79,"[{'id': 'A01-001-00004', 'name': '高雄'}]",KKday
豪華露營｜O'GLAMPING 墾丁貓鼻頭露營莊園｜全包式豪華露營,https://www.kkday.com/zh-tw/product/114019,5300,20220401,4.83,"[{'id': 'A01-001-00016', 'name': '墾丁'}]",KKday
【期間限定48折】｜高雄金馬賓館當代美術館門票 ALIEN Art Centre,https://www.kkday.com/zh-tw/product/105239,120,20220306,4.62,"[{'id': 'A01-001-00004', 'name': '高雄'}]",KKday
【預售8折】台北展覽｜映河・齊柏林空間展覽預售門票,https://www.kkday.com/zh-tw/product/102570,120,20220307,4.88,"[{'id': 'A01-001-00006', 'name': '新北市'}]",KKday
台灣台中｜啟蒙射箭場｜禪風射箭輕體驗,https://www.kkday.com/zh-tw/product/100139,400,20220309,4.95,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
【線上優惠95折】台中霧峰林家宮保第園區門票,https://www.kkday.com/zh-tw/product/115247,235,20220306,4.85,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
台灣台中｜麗寶店 Wooderful life 木育森林門票＆音樂鈴手作 DIY 體驗,https://www.kkday.com/zh-tw/product/116679,330,20220308,4.96,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
【高鐵票75折優惠】高鐵國旅聯票來回車票＆台南十鼓仁糖文創園區門票,https://www.kkday.com/zh-tw/product/105126,635,20220306,4.77,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
澎湖水族館門票 | 單人門票&雙人優惠套票 | 電子票券,https://www.kkday.com/zh-tw/product/101299,300,20220306,4.73,"[{'id': 'A01-001-00019', 'name': '澎湖'}]",KKday
台灣基隆｜和平島公園電子門票・精選餐飲,https://www.kkday.com/zh-tw/product/23472,80,20220306,4.81,"[{'id': 'A01-001-00026', 'name': '基隆'}]",KKday
【展期熱銷】台北展覽｜永恆慕夏-線條的魔術特展門票,https://www.kkday.com/zh-tw/product/118440,350,20220306,4.77,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
南投清境高空觀景步道門票｜開放時間・票價・入口處,https://www.kkday.com/zh-tw/product/36305,50,20220306,4.74,"[{'id': 'A01-001-00012', 'name': '南投'}]",KKday
【即買即用】台北展覽｜黃阿瑪的大冒險－尋找灰胖之旅門票,https://www.kkday.com/zh-tw/product/123867,260,20220306,4.84,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
【KKday 45折優惠】i-Ride TAIPEI 飛行劇院｜飛行體驗門票｜台北必玩,https://www.kkday.com/zh-tw/product/28750,899,20220306,4.6,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
台灣屏東小琉球 | 鹿粼梅花鹿園區門票,https://www.kkday.com/zh-tw/product/39713,220,20220306,4.77,"[{'id': 'A01-001-00024', 'name': '小琉球'}]",KKday
【KKday 優惠】台灣台南｜臺南左鎮化石博物館門票,https://www.kkday.com/zh-tw/product/105043,90,20220306,4.88,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
【獨家8折優惠】南投HOHOCHA喝喝茶  入園門票、紅茶披薩DIY,https://www.kkday.com/zh-tw/product/115836,100,20220308,4.8,"[{'id': 'A01-001-00012', 'name': '南投'}]",KKday
【線上優惠56折】台灣高雄｜鈴鹿賽道樂園｜ 一日無限暢遊券＆卡丁車體驗,https://www.kkday.com/zh-tw/product/114876,299,20220306,4.84,"[{'id': 'A01-001-00004', 'name': '高雄'}]",KKday
【KKday 獨家親子套票】台灣台中｜寶熊漁樂碼頭 OKUMA CENTER,https://www.kkday.com/zh-tw/product/102630,180,20220306,4.6,"[{'id': 'A01-001-00002', 'name': '台中'}]",KKday
台灣宜蘭｜廣興休閒農場門票,https://www.kkday.com/zh-tw/product/126359,200,20220306,0,"[{'id': 'A01-001-00017', 'name': '宜蘭'}]",KKday
【加贈旅遊金】屏東墾丁｜阿信巧克力農場・入園全票＆夜探梅花鹿＆巧克力生態＆香草精油 DIY＆農家割稻飯,https://www.kkday.com/zh-tw/product/103085,180,20220306,4.32,"[{'id': 'A01-001-00015', 'name': '屏東'}]",KKday
【高鐵票75折優惠】高鐵國旅聯票單程車票＆台南十鼓仁糖文創園區門票,https://www.kkday.com/zh-tw/product/118945,530,20220306,4.83,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
台灣台北｜奧森兒童博物館門票｜室內必玩,https://www.kkday.com/zh-tw/product/101164,200,20220307,4.77,"[{'id': 'A01-001-00001', 'name': '台北'}]",KKday
【95折優惠】台南學甲｜老塘湖藝術村門票,https://www.kkday.com/zh-tw/product/104037,95,20220306,4.55,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
【KKday 45折優惠】i-Ride KAOHSIUNG 飛行劇院｜室內飛行體驗門票｜高雄必玩,https://www.kkday.com/zh-tw/product/29872,899,20220309,4.56,"[{'id': 'A01-001-00004', 'name': '高雄'}]",KKday
野柳海洋世界｜童樂趴體驗館門票｜北海岸親子景點,https://www.kkday.com/zh-tw/product/125698,90,20220307,4.8,"[{'id': 'A01-001-00006', 'name': '新北市'}]",KKday
台灣澎湖｜星光海洋牧場｜鮮烤牡蠣美味粥品吃到飽｜樂釣海鱺戲遛花枝,https://www.kkday.com/zh-tw/product/115060,550,20220310,4.9,"[{'id': 'A01-001-00019', 'name': '澎湖'}]",KKday
台灣苗栗｜巧克力雲莊門票、巧克力DIY體驗券,https://www.kkday.com/zh-tw/product/101807,180,20220307,4.46,"[{'id': 'A01-001-00010', 'name': '苗栗'}]",KKday
【9折優惠】台南赤崁樓門票｜票價・開放時間・交通資訊,https://www.kkday.com/zh-tw/product/104780,45,20220306,4.65,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
【高鐵票 75 折優惠】高鐵國旅聯票單程車票＆台南奇美博物館 CHIMEI Museum 常設展門票,https://www.kkday.com/zh-tw/product/124273,315,20220306,4.2,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
台南柳營｜台糖尖山埤江南渡假村門票,https://www.kkday.com/zh-tw/product/120577,150,20220306,4.71,"[{'id': 'A01-001-00003', 'name': '台南'}]",KKday
【KKday 獨家】宜蘭｜赫蒂法莊園門票（即買即用）,https://www.kkday.com/zh-tw/product/125617,150,20220306,5,"[{'id': 'A01-001-00017', 'name': '宜蘭'}]",KKday
